PRODUCTOS,PRESENTACION-PRECIOS
Acelga,"Atado$ 240,00"
Achicoria,"pack$ 440,00(2 )"
Aji Serrano,"Atado$ 285,00"
Ajo Chico,"pack$ 525,00(2 )"
Ajo Grande,"125 Gr.$ 325,00"
Aceite De Coco Virgen,"Unidad$ 270,00"
Aceituna Organica Org. Xl,"pack$ 500,00(2 unid.)"
Almendras,"Unidad$ 380,00"
Almidón De Maíz,"pack$ 750,00(2 unid.)"
Almohaditas De Avellana,"125 ml.$ 4.825,00"
Acelga,"Frasco 250g.$ 1.300,00"
Achicoria,"100 g.$ 1.950,00"
Banana Bolivia,"pack$ 3.750,00(2 )"
Banana Ecuador,"200 g.$ 280,00"
Batata,"Pack x2$ 500,00(2 )"
Aceite De Oliva Arauco,"100 g.$ 450,00"
Ader. Barbacoa Tau,"Cajón$ 1.250,00(6 unid.)"
