PRODUCTOS,PRESENTACION-PRECIOS
ARANDANOS CHILENO X125G,$ 500.00
BANANA ECUADOR XKG,"$ 1,499.00"
CEBOLLA FRACCIONADA X KG,$ 250.00
CEREZA XKG,"$ 2,800.00"
CIRUELA CHICA X KG,"$ 2,000.00"
CIRUELA DISECADA XKG,"$ 9,999.00"
COCO XU,"$ 1,800.00"
DAMASCO XKG,"$ 1,999.00"
DURAZNO ROJO XKG,"$ 1,500.00"
KIWI AMARILLO XKG,"$ 1,800.00"
KIWI KG,"$ 5,999.00"
PALTA  DE CHILEXU,"$ 1,200.00"
PAPAYA DE BRASIL XU,"$ 1,300.00"
PELON XKG,"$ 1,850.00"
UVA BLANCA XKG,"$ 6,500.00"
UVA NEGRA  DE BRASILXKG,"$ 5,500.00"
UVA RED GLOBE  DE CHILE XKG,"$ 5,500.00"
